word,meaning,option1,option2,option3,Ginger,River,Sigma
ONE,一,冷,手臂,八,-1,0,0
TWO,二,五,九,發燒,0,0,0
THREE,三,雙腳,頭痛,受傷,-1,0,0
FOUR,四,六,八,十,0,0,0
FIVE,五,耳朵,六,十,0,0,0
SIX,六,一,五,鼻子,1,0,0
SEVEN,七,受傷,九,發燒,1,0,0
EIGHT,八,千,三,雙腳,-1,0,0
NINE,九,八,千,一,0,0,0
TEN,十,雙腿,百,腳,0,0,0
HUNDRED,百,嘴巴,雙腳,一,0,0,0
THROUSAND,千,一,三,耳朵,-2,0,0
EYES,眼睛,受傷,腳,七,2,0,0
EARS,耳朵,四,雙腿,眼睛,-1,0,0
NOSE,鼻子,頭痛,四,受傷,0,0,0
MOUTH,嘴巴,胃痛,雙腿,千,0,0,0
HANDS,手,六,八,嘴巴,-1,0,0
ARMS,手臂,四,八,腳,-1,0,0
LEGS,雙腿,九,一,八,0,0,0
FOOT,腳,受傷,二,嘴巴,0,0,0
FEET,雙腳,鼻子,三,百,-2,0,0
COLD,冷,千,七,牙痛,0,0,0
FEVER,發燒,雙腳,眼睛,喉嚨痛,-1,0,0
RUNNY NOSE,流鼻水,腳,鼻子,眼睛,-3,0,0
SORE THROAT,喉嚨痛,二,七,雙腿,-2,0,0
HEADACHE,頭痛,六,喉嚨痛,腳,-1,0,0
TOOTHACHE,牙痛,胃痛,八,手,0,0,0
STOMACHACHE,胃痛,冷,十,鼻子,0,0,0
HURT,受傷,流鼻水,八,三,-1,0,0
